,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Total_y,Accesos por cada 100 hab,Mbps (Media de bajada)
71,2022,2,Tucumán,85893.0,15327.0,148823.0,3997.0,487.0,254497,30.0,254527,14.6914572899128,50.09
72,2022,1,Buenos Aires,392045.0,2728865.0,1242121.0,125521.0,66872.0,4549131,6293.0,4555424,25.563030152028357,62.51
73,2022,1,Capital Federal,102290.0,1217225.0,62308.0,5784.0,29934.0,1415378,2163.0,1417541,46.01434762144353,88.22
74,2022,1,Catamarca,14181.0,15517.0,29118.0,1328.0,2234.0,62377,1.0,62378,14.805619574995312,51.22
75,2022,1,Chaco,32391.0,64546.0,36662.0,8164.0,2356.0,144114,5.0,144119,11.775342040436144,45.84
76,2022,1,Chubut,44133.0,66667.0,9184.0,30592.0,21052.0,170701,927.0,171628,26.9887596631044,13.4
77,2022,1,Córdoba,195610.0,501799.0,235838.0,60843.0,9713.0,1003729,74.0,1003803,26.255262218351167,49.89
78,2022,1,Corrientes,40462.0,79093.0,10875.0,6774.0,5374.0,142574,4.0,142578,12.545281287312791,38.11
79,2022,1,Entre Ríos,67159.0,138986.0,23091.0,26098.0,12592.0,267904,22.0,267926,19.04540527092108,35.59
80,2022,1,Formosa,16397.0,15927.0,5146.0,16876.0,202.0,54548,0.0,54548,8.896427435598431,30.28
81,2022,1,Jujuy,21307.0,60616.0,25949.0,4662.0,3975.0,116509,0.0,116509,14.847641828629394,27.69
82,2022,1,La Pampa,8003.0,58978.0,21739.0,19903.0,1109.0,109560,172.0,109732,30.20041503140257,14.84
83,2022,1,La Rioja,9103.0,59228.0,9546.0,6395.0,31.0,84299,4.0,84303,20.96917417226944,41.37
84,2022,1,Mendoza,49464.0,74145.0,123228.0,26969.0,1379.0,274399,786.0,275185,13.5994765497552,26.2
85,2022,1,Misiones,39147.0,91752.0,25178.0,7807.0,7624.0,171508,0.0,171508,13.357539336702546,41.87
86,2022,1,Neuquén,28443.0,73200.0,24193.0,23098.0,745.0,149208,471.0,149679,22.07746042609429,43.05
87,2022,1,Río Negro,38662.0,45366.0,38037.0,16815.0,18494.0,156821,553.0,157374,20.61822984084394,31.09
88,2022,1,Salta,44714.0,98667.0,40994.0,5950.0,7190.0,197510,5.0,197515,13.588166053353753,36.71
89,2022,1,San Juan,34038.0,14449.0,11294.0,20723.0,7674.0,87888,290.0,88178,11.092116468606635,11.99
90,2022,1,San Luis,7987.0,11296.0,31.0,71809.0,28721.0,119659,185.0,119844,23.101656231687382,20.95
91,2022,1,Santa Cruz,10537.0,23420.0,10766.0,3974.0,405.0,48898,204.0,49102,12.894297328809571,10.89
92,2022,1,Santa Fe,213486.0,444609.0,146552.0,45261.0,20571.0,870364,115.0,870479,24.30739699893441,38.89
93,2022,1,Santiago Del Estero,18118.0,87979.0,1093.0,6349.0,2922.0,116459,2.0,116461,11.706882132029495,14.5
94,2022,1,Tierra Del Fuego,13031.0,38700.0,416.0,124.0,340.0,52298,313.0,52611,29.13865104068589,10.73
95,2022,1,Tucumán,92532.0,62396.0,86174.0,3995.0,487.0,245554,30.0,245584,14.215533334298076,47.24
96,2021,4,Buenos Aires,426325.0,2706506.0,1176024.0,126887.0,73415.0,4502772,6385.0,4509157,25.36251411440295,60.2091238315554
97,2021,4,Capital Federal,111360.0,1205128.0,60005.0,5679.0,29947.0,1409935,2184.0,1412119,45.848510714562856,82.94995496542248
98,2021,4,Catamarca,16385.0,13858.0,25100.0,1512.0,2235.0,59089,1.0,59090,14.054223759225389,46.380057758939095
99,2021,4,Chaco,35548.0,63145.0,34688.0,8005.0,2359.0,143740,5.0,143745,11.772399458164148,42.342637514688604
100,2021,4,Chubut,46361.0,57412.0,9655.0,28041.0,18839.0,159364,944.0,160308,25.309325144656967,9.082660638555469
101,2021,4,Córdoba,212011.0,487489.0,217214.0,61277.0,8779.0,986693,77.0,986770,25.873153715537683,46.36090745799214
102,2021,4,Corrientes,42523.0,71183.0,10138.0,6778.0,5290.0,135908,4.0,135912,11.983198552620909,35.772659194287044
103,2021,4,Entre Ríos,70459.0,133387.0,23452.0,25022.0,12726.0,265024,22.0,265046,18.88227767661483,33.31712584167462
104,2021,4,Formosa,17211.0,15111.0,5151.0,16018.0,172.0,53663,0.0,53663,8.768865242200624,28.75764894769421
105,2021,4,Jujuy,22330.0,60511.0,24156.0,2927.0,3991.0,113915,0.0,113915,14.555241944242493,27.14434303841708
106,2021,4,La Pampa,8175.0,58000.0,20192.0,19286.0,1354.0,106834,173.0,107007,29.509892061530994,13.853882842854397
107,2021,4,La Rioja,10387.0,56651.0,9446.0,6613.0,31.0,83124,4.0,83128,20.74238205028396,39.69594513667998
108,2021,4,Mendoza,59842.0,71553.0,109667.0,24666.0,1859.0,266783,804.0,267587,13.25625900699059,22.23158340100516
109,2021,4,Misiones,41778.0,92068.0,22035.0,7649.0,7602.0,171132,0.0,171132,13.363319043268442,38.90334925090757
110,2021,4,Neuquén,29175.0,72761.0,23253.0,21531.0,746.0,146989,477.0,147466,21.817563119077384,40.092530111167584
111,2021,4,Río Negro,42037.0,44495.0,32212.0,16558.0,18451.0,153189,564.0,153753,20.205613568445425,27.20317045489215
112,2021,4,Salta,46972.0,99808.0,39555.0,5882.0,7188.0,199399,6.0,199405,13.759337691497716,33.940639744985226
113,2021,4,San Juan,35868.0,13102.0,11072.0,11423.0,8493.0,79667,291.0,79958,10.084133235970333,11.05274930815778
114,2021,4,San Luis,8472.0,11064.0,30.0,70560.0,28723.0,118662,187.0,118849,22.97895624197615,20.90972444801464
115,2021,4,Santa Cruz,10790.0,22902.0,10031.0,4346.0,417.0,48276,210.0,48486,12.808821353847454,8.990650984477549
116,2021,4,Santa Fe,233427.0,444373.0,128856.0,43556.0,16229.0,866265,176.0,866441,24.23965799751964,36.024023837275145
117,2021,4,Santiago Del Estero,19032.0,86563.0,1088.0,6256.0,2922.0,115859,2.0,115861,11.675440470480114,13.84088684951507
118,2021,4,Tierra Del Fuego,13317.0,38148.0,426.0,124.0,342.0,52042,315.0,52357,29.171007839182543,10.696704944050463
119,2021,4,Tucumán,97830.0,59022.0,78790.0,2511.0,486.0,238609,30.0,238639,13.852880446424065,45.14812243339947
120,2021,3,Buenos Aires,585729.0,2595485.0,885613.0,120228.0,64554.0,4246425,5184.0,4251609,23.96989190399953,56.25755092469591
121,2021,3,Capital Federal,142902.0,1192107.0,42966.0,6059.0,29371.0,1411797,1608.0,1413405,45.90038346526859,77.71207106907312
122,2021,3,Catamarca,18413.0,11709.0,22331.0,1568.0,2233.0,56253,1.0,56254,13.407472376612356,43.43333599763174
123,2021,3,Chaco,38258.0,63659.0,27583.0,8018.0,2353.0,139868,3.0,139871,11.48213456009956,39.113135809207584
124,2021,3,Chubut,49269.0,55794.0,8946.0,23376.0,18681.0,155266,800.0,156066,24.738375502880167,8.176860363136605
125,2021,3,Córdoba,229275.0,477223.0,167495.0,57617.0,15178.0,946726,62.0,946788,24.885957628675676,41.92778724566202
126,2021,3,Corrientes,44805.0,69403.0,7542.0,6766.0,5303.0,133816,3.0,133819,11.8228555121759,32.16890082785829
127,2021,3,Entre Ríos,74443.0,128752.0,20485.0,23500.0,13195.0,260360,15.0,260375,18.590565595869126,29.60123187949277
128,2021,3,Formosa,18093.0,14111.0,4730.0,15690.0,171.0,52795,0.0,52795,8.643582187295351,26.68942678494665
129,2021,3,Jujuy,23554.0,60758.0,19926.0,2952.0,3968.0,111158,0.0,111158,14.240381868423986,25.980702520297545
130,2021,3,La Pampa,9015.0,57881.0,17817.0,14479.0,1295.0,100371,116.0,100487,27.767891191051227,12.99161507240359
131,2021,3,La Rioja,11329.0,54744.0,9444.0,6613.0,30.0,82157,3.0,82160,20.565964530219404,38.86795185445044
132,2021,3,Mendoza,91474.0,71247.0,70579.0,21811.0,828.0,255320,619.0,255939,12.710228113581037,13.365156173184468
133,2021,3,Misiones,43230.0,89469.0,10969.0,7198.0,7662.0,158528,0.0,158528,12.411772581325812,30.87871831426499
134,2021,3,Neuquén,29650.0,73794.0,16455.0,19270.0,640.0,139436,373.0,139809,20.74816202113861,38.34222315428742
135,2021,3,Río Negro,47934.0,44519.0,18725.0,15031.0,18376.0,144084,501.0,144585,19.05925062746504,25.400065197148727
