,Provincia,Partido,Localidad,ADSL_x,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Población,ADSL_y,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
638,Buenos aires,Villa Gesell,Villa Gesell,5674,0,0,5688,110,0,0,0,11472,29593,SI,--,--,SI,--,--,SI,SI,SI,6868020.0,-37.2464704698501,-56.9707267624406
639,Buenos aires,Villarino,Mayor Buratovich,134,0,0,499,0,0,0,0,633,5372,SI,--,--,SI,--,--,SI,SI,SI,6875050.0,-39.2590946793617,-62.6157889589915
640,Buenos aires,Villarino,Médanos,417,375,2,0,0,0,0,103,897,5245,SI,SI,SI,--,--,SI,SI,SI,SI,6875060.0,-38.8293145512181,-62.6943321574343
641,Buenos aires,Villarino,Pedro Luro,393,582,0,1664,1,0,0,550,3190,9494,SI,SI,--,SI,--,SI,SI,SI,SI,6875070.0,-39.5007767274615,-62.6874317159849
642,Buenos aires,Villarino,Argerich,0,0,0,0,0,0,0,31,31,80,--,--,--,--,--,SI,SI,--,--,6875010.0,-38.7686560837266,-62.6025276771033
643,Buenos aires,Villarino,Teniente Origone,0,0,0,0,0,0,0,16,16,145,--,--,--,--,--,SI,SI,--,SI,6875080.0,-39.0580586668564,-62.5697137402023
644,Buenos aires,Villarino,Country Los Medanos,0,0,0,0,0,0,0,267,267,61,--,--,--,--,--,SI,--,--,--,6875025.0,-38.8468445915571,-62.738741885831
645,Buenos aires,Zárate,Lima,1,0,0,1,0,4,0,0,6,10219,SI,--,--,SI,SI,--,--,SI,SI,6882040.0,-34.0436335939636,-59.1973339595539
646,Buenos aires,Zárate,Zárate,1941,25557,0,970,700,5,0,1525,30698,98522,SI,SI,--,SI,SI,SI,SI,SI,SI,6882050.0,-34.0998630672257,-59.024557255152
647,Catamarca,Ambato,El Bolsón,0,0,0,0,0,2,0,0,2,289,--,--,--,--,SI,--,--,--,SI,10007030.0,-27.9038743420396,-65.8884829262542
648,Catamarca,Ambato,El Rodeo,0,0,0,0,0,1,0,152,153,1007,--,--,--,--,SI,SI,SI,--,SI,10007040.0,-28.2141516424861,-65.8738600634115
649,Catamarca,Ambato,La Puerta,0,0,0,0,0,5,0,0,5,706,--,--,--,--,SI,--,SI,--,SI,10007060.0,-28.1764379052117,-65.7863037835082
650,Catamarca,Ambato,Las Chacritas,0,0,0,0,0,1,0,0,1,74,--,--,--,--,SI,--,SI,--,--,10007070.0,-27.6464168267027,-65.9533446470458
651,Catamarca,Ambato,Los Varela,0,0,0,0,0,1,0,0,1,443,--,--,--,--,SI,--,--,--,SI,10007110.0,-27.9279942328057,-65.8822302327591
652,Catamarca,Ambato,Los Talas,0,0,0,0,0,0,0,66,66,170,--,--,--,--,--,SI,--,--,--,10007100.0,-27.94999754917,-65.875829814164
653,Catamarca,Ancasti,Ancasti,0,0,0,0,0,1,0,0,1,361,--,--,--,--,SI,--,SI,--,SI,10014010.0,-28.809829766706,-65.5021019996524
654,Catamarca,Andalgalá,Andalgalá,821,0,0,144,1,2,0,203,1171,12600,SI,--,--,SI,SI,SI,SI,SI,SI,10021020.0,-27.5732225954972,-66.3235466394645
655,Catamarca,Andalgalá,Chaquiago,0,0,0,9,0,1,0,14,24,1096,--,--,--,SI,SI,SI,--,--,--,10021030.0,-27.5368955481985,-66.3350568927423
